"species","compound_name","Station 1","Station 2","Station 4","Station 6","Station 7","Station 8","Station 9","Station 10","Station 11"
"SQDG","SQDG 36:2",2490517.56225807,7756464.04556694,11829789.0194702,1653951.09216985,1732862.15230775,1462677.76690447,533340.370803603,3997359.45135858,3504614.57564631
"SQDG","SQDG 36:3",900947.652395713,1220081.92029112,1464834.18981448,2186120.11608315,224552.754840512,1089800.42679574,1530731.39132453,672990.817173883,815679.444870695
"SQDG","SQDG 36:3 +3O",2789443.22552603,16772570.0907206,6857821.23261024,6517475.0177214,3149075.75570117,43641508.1972769,4560404.27337485,13037918.5416985,10472341.3383641
"SQDG","SQDG 36:5",7015478.23927324,29396603.7239354,35738080.8588063,16718973.4237902,16427473.4122789,11184891.5953425,8998922.6127904,24227746.3602567,18350586.5855549
"SQDG","SQDG 36:7",13066309.5758934,51804238.4822507,87708801.9170256,137552335.711371,29769904.9604446,13120489.6349298,62722568.6485531,15086729.0916782,34656179.4685897
"SQDG","SQDG 36:7 +3O",1848086.33450063,14033047.6267799,8920664.22570067,5493033.83857512,1398229.41368259,7675989.35146703,4762942.45694139,5435336.85345219,3813555.53165585
"SQDG","SQDG 36:9 +2O",1723746.07126474,979172.566084321,846141.206901411,0,34150027.6556956,31212825.5674592,0,69242081.5305566,395184.053984389
"SQDG","SQDG 38:0",168829023.378832,492375054.357125,231438552.321193,5331840.51510393,5719612.23950883,3513935.63283516,378588.4176792,12871701.1830238,308400215.17311
"SQDG","SQDG 38:10 +3O",339096.291318091,4781333.52028651,1928040.60059728,1546966.09615229,309754.660597885,2287705.83350886,1508109.24379444,690809.190749021,932129.105600744
"SQDG","SQDG 38:2",8069416.12395675,26420767.5984165,32548411.4913257,2252872.46763146,1494707.91778411,2490492.06090344,242331.33932121,4698225.5301262,18935505.8124908
"SQDG","SQDG 38:4 +3O",873125.551218229,1708370.22691975,2111876.57786513,4533669.51309432,2765138.16973039,1639832.73750575,3053292.7583209,2103149.84752864,1263636.0252361
"SQDG","SQDG 38:7 +3O",1614243.71764968,13635709.2873612,14362181.7197098,3365041.80480125,2442047.65002063,64473772.3292962,2537471.2726746,10581076.8153662,9184038.05253247
"SQDG","SQDG 38:9",3315058.86914915,10176381.4157581,17089619.917729,11836563.0981434,27135372.2349645,25752720.8372739,3938297.28178394,34190507.2764139,5293100.10742203
"SQDG","SQDG 40:1",247010222.447102,944666040.806118,971278108.89243,16148397.5740744,9875130.28482096,9039692.97334994,3020451.63876551,16879568.8652152,853639131.689685
"SQDG","SQDG 40:1 +1O",1136061.80010355,2245135.67420463,13105220.9970508,9274599.10709009,1607955.81202982,6317443.05035612,1786187.23625163,4788362.06207796,3528673.63006634
"SQDG","SQDG 40:1 +2O",8021729.27644403,5206020.39844642,4686322.10603192,0,61651.5467392946,3711165.98173935,0,9005888.92808975,11340470.979632
"SQDG","SQDG 40:4",4267083.84895756,49481996.2968433,103136278.845388,10321340.5153015,77358761.7140658,34620513.4063706,5810110.68943956,49882127.4140449,21215531.6804005
"SQDG","SQDG 40:8 +3O",5409716.45189579,21091309.4165723,18183849.0195574,6967936.71819453,5940366.02520925,33550036.0955953,4183347.36408342,14893899.1512551,10273412.4563312
"SQDG","SQDG 42:1 +1O",32946276.9305942,160498139.603268,118062825.659887,9603692.32124234,15566471.4154859,8946204.24460986,3013387.1678877,25163585.4998856,73865274.9422228
"SQDG","SQDG 42:3 +3O",2786942.45117341,6363488.16973855,5666559.70291064,1426311.60903875,415099.916797168,9935035.54544796,141239.577236664,4241739.72219927,3908673.59760312
"SQDG","SQDG 42:9 +3O",2062621.79747792,5461475.48527056,3687833.33588211,3147288.64125626,1165920.98866482,5533349.86928986,2243746.46020911,5434912.84985409,3996678.30537738
"SQDG","SQDG 44:3 +3O",1967284.72104687,2491167.53258373,4017814.8404428,638037.486441874,449444.878413639,5652705.29109114,72328.4915676979,5807647.90440641,2598967.89788998
"SQDG","SQDG 46:2 +1O",10408495.2654752,63186293.7053741,27216118.9478436,1344076.03410178,1453052.4719351,1757458.35646333,208990.238362962,6506050.08152284,16119382.9304221
"SQDG","SQDG 46:6",4133285.2168329,11067336.9922417,5147853.90870204,4100303.95236111,293675.802874102,63729.3774433235,744925.711131714,0,5843877.0020871
"SQDG","SQDG 48:5 +4O",1376241.53989355,1646124.47766675,2607390.21027938,0,50450404.3168715,43873957.072639,0,57415846.1277378,121981.852583037
"SQDG","SQDG 52:1 +1O",2915037.49698759,8729236.27270395,5940685.20009955,0,52142.1608610289,0,29321.0251898978,76545.5620041389,5657175.15785659
"WaxEster","WaxEster 20:0",18628748.5162364,371965122.13492,115536559.102344,41444099.6940503,52202758.3955547,6188394.75058018,27243076.3934743,2106132.61127018,7102403.19021408
"WaxEster","WaxEster 20:0 +1O",5803166.00252737,30201117.2665649,17133767.4065054,5374815.82833264,8361576.48791119,4056650.30823899,1778316.49842676,687971.937427285,792288.161372077
"WaxEster","WaxEster 20:1 +1O",3500025.77705791,13689109.8989942,11783272.7847509,4816830.43954001,9851348.07653652,10659844.8747583,2358685.8773656,2601954.76711129,1567963.47382707
"WaxEster","WaxEster 20:3 +2O",4732246.27697447,9301253.11499543,25099390.2691131,10074038.7116375,9617231.6033468,7764821.8144895,3532157.34878737,5005625.84465327,3067427.30823049
"WaxEster","WaxEster 20:4 +1O",53870.0309517901,263239.16385899,348465.382373629,21899.1092792853,5242507.35447801,5059412.04811004,12935.3189468813,4348956.36720418,22072.4293900732
"WaxEster","WaxEster 20:4 +2O",3003568.17374811,9841740.34745652,6501822.0524842,2875146.80002209,42531964.4013034,36669871.9703459,2674187.06465947,94459785.5857144,3541164.66924245
"WaxEster","WaxEster 22:0",5681976.18836958,112331283.114711,38702640.3012184,13121828.8947604,19218700.5442661,3542859.05777755,9584955.16181552,1998671.74390924,2723241.0393545
"WaxEster","WaxEster 22:0 +1O",1653717.98549832,10582212.1906286,6530987.35938921,2173811.18180695,4443771.47547315,2157570.44872256,923731.048221109,861278.585996081,200604.826978735
"WaxEster","WaxEster 22:1",3964044.75592476,147605102.058896,46127299.6458943,18728628.2085205,19971333.5454935,1221702.18206343,12471646.2536733,590480.06043367,3515118.82993722
"WaxEster","WaxEster 22:2",1580922.60026842,9751316.81327162,10469644.8333827,4836765.51067914,6205038.62854018,10994349.5485369,4983950.20112698,3880651.07296715,2261587.12558525
"WaxEster","WaxEster 22:3",4192808.60970738,16331517.7344463,18959697.8088411,6027268.54952809,15008585.9484206,11664430.8101742,15887047.3148379,6020128.7273134,2975102.12675725
"WaxEster","WaxEster 22:3 +3O",11503711.6656219,12458627.2148436,40234356.0155788,16662630.646374,19417363.9149139,13170183.8336166,4736551.96731552,8922934.6768565,4569852.22241178
"WaxEster","WaxEster 24:0",3300111.16465183,13325606.8421268,6868780.19029981,4001219.3531393,7259915.81163511,4562444.08705596,2833745.70327974,2967582.89692913,1350656.53931619
"WaxEster","WaxEster 24:1 +1O",3682645.56754701,23479902.4329815,9883737.90298015,3955672.08992352,12452122.4407817,6788486.34515147,4925818.636151,11787522.8620752,2174137.42508474
"WaxEster","WaxEster 24:2 +1O",2478356.28158846,18857166.1750225,18023777.3989507,9971038.44583252,16089168.5784777,12645879.2916396,9633169.46234997,10535786.1054947,8081502.43217252
"WaxEster","WaxEster 24:3 +2O",11834386.3391418,200301545.520179,193639546.509489,110806190.997738,149544685.789954,120069738.853343,101163721.197553,81800116.8109557,72915547.2090859
